"ID","ReleaseDate","Grade","Edition","Name","OfficialJPY","TaxExJPY","OfficialKRW","AppliedMultiplier","DiscrepancyCheck"
"545","2006-12-23","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 STRIKE FREEDOM GUNDAM","5720","5200","74360","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"546","2007-01-27","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 CROSSBONE FULL CLOTH","5390","4900","70070","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"547","2007-02","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 Hi-νGUNDAM","7700","7000","100100","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"548","2008-01","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 ZAKUⅡ BLACK TRI-STARS Ver. 2.0","4950","4500","64350","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"549","2007-03","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 STRIKE NOIR GUNDAM","4950","4500","64350","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"55","2017-08-26","HG","?쒖젙/?대읇G (P-Bandai)","HG 1/144 GM/GM","1760","1600","22880","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"550","2007-08","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 ∀ GUNDAM","4840","4400","62920","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"551","2007-12","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 UNICORN GUNDAM Ver.Ka","5500","5000","71500","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"552","2007-10","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 DESTINY GUNDAM","5720","5200","74360","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"553","2007-10","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 DESTINY GUNDAM SPECIAL EDITION","7700","7000","100100","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"554","2009-12-19","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 V GUNDAM Ver.Ka","4620","4200","60060","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"555","2008-04","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 STRIKE GUNDAM LAUNCHER / SWORD","5500","5000","71500","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"556","2008-05","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 FORCE IMPULSE GUNDAM","5390","4900","70070","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"557","2008-07-26","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM RX-78-2 ver.2.0","5060","4600","65780","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"558","2008-06","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 SHIN MUSHA GUNDAM","5500","5000","71500","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"559","2009-06","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 G ARMOR REAL TYPE COLOR Ver.","11880","10800","154440","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"56","2017-08-26","HG","?쒖젙/?대읇G (P-Bandai)","HG 1/144 GM GM WEAPONS","660","600","8580","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"560","2009-01","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 G FIGHTER","6820","6200","88660","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"561","2010-07-22","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 V DASH GUNDAM Ver.ka","6820","6200","88660","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"562","2008-02-23","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 STRIKE E＋IWSP (ASTRAYS LUKAS O'DONNELL CUSTOM)","4950","4500","64350","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"563","2008-10","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 INFINITE JUSTICE GUNDAM","5940","5400","77220","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"564","2008-12-27","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 SINANJU","7700","7000","100100","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"565","2009-09-17","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNTANK","5280","4800","68640","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"566","2009-04","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 SWORD IMPULSE GUNDAM","5390","4900","70070","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"567","2009-03","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 SHINMUSHA GUNDAM SENGOKU NO JIN","8800","8000","114400","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"568","2009-07","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM EXIA","4620","4200","60060","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"569","2009-06","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 MS-06J　ZAKUⅡ WHITE AUGER","3850","3500","50050","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"57","2017-09-30","HG","?쒖젙/?대읇G (P-Bandai)","HG 1/144 WINNING FUMINA","2640","2400","34320","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"570","2010-02-20","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 ASTRAY RED FRAME REVISE","5940","5400","77220","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"571","2009-10-22","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM ASTRAY BLUE FRAME 2nd REVISE","5280","4800","68640","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"572","2010-07-01","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM EXIA (IGNITION MODE)","7150","6500","92950","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"573","2010-03-11","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 UNICORN GUNDAM SCREEN IMAGE","6160","5600","80080","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"574","2010-02-18","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM EXIA (TRANS-AM  MODE)","6380","5800","82940","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"575","2009-12-25","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 RX-78-3 G3 GUNDAM Ver.2.0","4620","4200","60060","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"576","2010-03-11","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 UNICORN GUNDAM SCREEN IMAGE SPECIAL","8690","7900","112970","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"577","2010-05-27","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 MUSHA GUNDAM MK-II","7040","6400","91520","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"578","2010-04-28","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 WING GUNDAM","4840","4400","62920","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"579","2011-02-26","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 DEATHSCYTHE HELL EW VER.","5390","4900","70070","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"58","2017-10-14","HG","?쒖젙/?대읇G (P-Bandai)","HG 1/144 REVERSIBLE GUNDAM","1980","1800","25740","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"580","2010-09-24","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM DEATHSCYTHE EW VER.","4620","4200","60060","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"581","2010-06-24","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 FULL ARMOR GUNDAM","5500","5000","71500","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"582","2010-07-24","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 CORE BOOSTER Ver.Ka","2420","2200","31460","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"583","2010-08-07","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 THE・O","14080","12800","183040","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"584","2010-10-23","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 RE-ZEL","5720","5200","74360","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"585","2011-01-15","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 RE-ZEL COMMANDER TYPE","5500","5000","71500","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"586","2011-03-26","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 XXXG-01S SHENLONG GUNDAM EW VER.","4620","4200","60060","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"587","2011-09-23","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 OO GUNDAM SEVEN SWORD/G","6490","5900","84370","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"588","2011-05-28","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 OO RAISER","7590","6900","98670","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"589","2011-03-26","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 XXXG-01W WING GUNDAM EW VER.","4290","3900","55770","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"59","2017-10-14","HG","?쒖젙/?대읇G (P-Bandai)","HGBC 1/144 BALLISTIC WEAPONS","660","600","8580","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"590","2011-06-25","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM EPYON EW VER.","5720","5200","74360","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
